episode_number,title,season,season_episode_number,imdb_rating
1,Episode #1.1,1,1,6.201234567891
2,Episode #1.2,1,2,6.201234567891
3,Episode #1.3,1,3,5.301234567891
4,Episode #1.4,1,4,5.801234567891
5,Episode #1.5,1,5,5.801234567891
6,Episode #1.6,1,6,5.801234567891
7,Episode #1.7,1,7,5.801234567891
8,Trista & Ryan's Wedding: Part 1,1,8,6.101234567891
9,Trista & Ryan's Wedding: Part 2,1,9,5.901234567891
10,Trista & Ryan's Wedding: Part 3,1,10,5.901234567891
11,Episode #2.1,2,1,4.201234567891
12,Episode #2.2,2,2,4.201234567891
13,Episode #2.3,2,3,4.201234567891
14,Episode #2.4,2,4,4.201234567891
15,Episode #2.5,2,5,4.201234567891
16,Episode #2.6,2,6,4.201234567891
17,Episode #2.7,2,7,4.201234567891
18,Episode #2.8,2,8,4.201234567891
19,After the Final Rose,2,9,4.201234567891
20,Episode #3.1,3,1,4.201234567891
21,Episode #3.2,3,2,4.201234567891
22,Episode #3.3,3,3,4.201234567891
23,Episode #3.4,3,4,4.201234567891
24,Episode #3.5,3,5,4.201234567891
25,Episode #3.6,3,6,4.201234567891
26,Episode #3.7,3,7,4.201234567891
27,Episode #3.8,3,8,4.201234567891
28,After the Final Rose,3,9,5.201234567891
29,Episode #4.1,4,1,4.801234567891
30,Episode #4.2,4,2,4.701234567891
31,Episode #4.3,4,3,4.201234567891
32,Episode #4.4,4,4,4.201234567891
33,DeAnna Tells All,4,5,4.201234567891
34,Episode #4.6,4,6,4.201234567891
35,Episode #4.7,4,7,4.201234567891
36,Episode #4.8,4,8,4.201234567891
37,The Men Tell All,4,9,5.101234567891
38,Season Finale,4,10,4.401234567891
39,After the Final Rose,4,11,4.201234567891
40,Episode #5.1,5,1,4.501234567891
41,Episode #5.2,5,2,4.501234567891
42,Episode #5.3,5,3,4.601234567891
43,Episode #5.4,5,4,4.601234567891
44,Episode #5.5,5,5,4.601234567891
45,Episode #5.6,5,6,4.501234567891
46,Episode #5.7,5,7,4.001234567891
47,Episode #5.8,5,8,5.301234567891
48,Episode #5.9,5,9,4.601234567891
49,The Men Tell All,5,10,4.301234567891
50,Episode #5.11,5,11,4.701234567891
51,After the Final Rose,5,12,3.801234567891
52,Episode #6.1,6,1,6.501234567891
53,Episode #6.2,6,2,5.201234567891
54,Episode #6.3,6,3,5.901234567891
55,Episode #6.4,6,4,5.801234567891
56,Episode #6.5,6,5,5.701234567891
57,Episode #6.6,6,6,5.601234567891
58,Episode #6.7,6,7,5.801234567891
59,Episode #6.8,6,8,5.601234567891
60,Episode #6.9,6,9,5.601234567891
61,The Men Tell All,6,10,5.901234567891
62,Episode #6.11,6,11,5.601234567891
63,After the Final Rose,6,12,5.501234567891
64,Episode #7.1,7,1,5.601234567891
65,Episode #7.2,7,2,5.101234567891
66,Episode #7.3,7,3,4.801234567891
67,Episode #7.4,7,4,4.801234567891
68,Episode #7.5,7,5,5.001234567891
69,Episode #7.6,7,6,5.501234567891
70,Episode #7.7,7,7,5.001234567891
71,Episode #7.8,7,8,5.201234567891
72,Episode #7.9,7,9,5.101234567891
73,The Men Tell All,7,10,5.001234567891
74,Episode #7.11,7,11,5.301234567891
75,After the Final Rose,7,12,5.301234567891
76,Episode #8.1,8,1,6.701234567891
77,Episode #8.2,8,2,5.501234567891
78,Episode #8.3,8,3,5.901234567891
79,Episode #8.4,8,4,5.801234567891
80,Episode #8.5,8,5,6.601234567891
81,Episode #8.6,8,6,5.801234567891
82,Episode #8.7,8,7,6.401234567891
83,Episode #8.8,8,8,5.401234567891
84,Episode #8.9,8,9,5.901234567891
85,The Men Tell All,8,10,6.101234567891
86,Episode #8.11,8,11,5.701234567891
87,After the Final Rose,8,12,5.201234567891
88,Episode #9.1,9,1,6.401234567891
89,Episode #9.2,9,2,5.901234567891
90,Episode #9.3,9,3,5.601234567891
91,Episode #9.4,9,4,5.701234567891
92,Episode #9.5,9,5,6.201234567891
93,Episode #9.6,9,6,6.101234567891
94,Episode #9.7,9,7,6.301234567891
95,Episode #9.8,9,8,6.401234567891
96,The Men Tell All,9,9,5.701234567891
97,Episode #9.10,9,10,5.801234567891
98,The Final Rose,9,11,5.701234567891
99,After the Final Rose,9,12,5.801234567891
100,Episode #10.1,10,1,5.501234567891
101,Episode #10.2,10,2,5.401234567891
102,Episode #10.3,10,3,5.301234567891
103,Episode #10.4,10,4,5.301234567891
104,The Journey So Far,10,5,5.001234567891
105,Episode #10.6,10,6,5.301234567891
106,Episode #10.7,10,7,5.201234567891
107,Episode #10.8,10,8,5.301234567891
108,Episode #10.9,10,9,5.201234567891
109,Episode #10.10,10,10,5.601234567891
110,The Men Tell All,10,11,6.001234567891
111,Episode #10.12,10,12,5.701234567891
112,After the Final Rose,10,13,4.801234567891
113,Episode #11.1,11,1,5.901234567891
114,Episode #11.2,11,2,5.101234567891
115,Episode #11.3,11,3,6.001234567891
116,Episode #11.4,11,4,6.001234567891
117,Episode #11.5,11,5,5.801234567891
118,Episode #11.6,11,6,6.201234567891
119,Episode #11.7,11,7,5.201234567891
120,Episode #11.8,11,8,4.601234567891
